venue_name,venue_id
"Narendra Modi Stadium, Motera, Ahmedabad",57851
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",57991
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1070094
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",58142
"M.Chinnaswamy Stadium, Bengaluru",57897
"MA Chidambaram Stadium, Chepauk, Chennai",58008
"Arun Jaitley Stadium, Delhi",58040
"Barsapara Cricket Stadium, Guwahati",680295
"Eden Gardens, Kolkata",57980
"Wankhede Stadium, Mumbai",58324
"Sawai Mansingh Stadium, Jaipur",58162
"Himachal Pradesh Cricket Association Stadium, Dharamsala",58056
"Brabourne Stadium, Mumbai",58317
"Dr DY Patil Sports Academy, Navi Mumbai",343050
"Maharashtra Cricket Association Stadium, Pune",545380
Dubai International Cricket Stadium,392627
Sharjah Cricket Stadium,59392
"Sheikh Zayed Stadium, Abu Dhabi",59396
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",58547
"Holkar Cricket Stadium, Indore",58150
"Saurashtra Cricket Association Stadium, Rajkot",377285
"Green Park, Kanpur",58204
"Shaheed Veer Narayan Singh International Stadium, Raipur",601879
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",57851
"JSCA International Stadium Complex, Ranchi",485865
"Barabati Stadium, Cuttack",58027
"Nehru Stadium, Kochi",58230
"Dr DY Patil Sports Academy, Mumbai",343050
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",375326
"Newlands, Cape Town",59068
"St George's Park, Port Elizabeth",59159
"Kingsmead, Durban",59089
"SuperSport Park, Centurion",59079
"Buffalo Park, East London",59098
"The Wanderers Stadium, Johannesburg",59120
"Diamond Oval, Kimberley",59135
"Mangaung Oval, Bloemfontein",59042
